timestamp,src_ip,dst_ip,bytes,sensor_type,port
2025-12-19 01:05:55.739309,192.168.1.11,10.0.0.1,499,humidity,1883
2025-12-19 05:14:55.739334,192.168.1.15,10.0.0.1,212,soil_moisture,443
2025-12-19 05:40:55.739358,192.168.1.32,10.0.0.1,600,pesticide,1883
2025-12-19 03:11:55.739380,192.168.1.2,10.0.0.1,778,temp,8080
2025-12-19 11:12:55.739403,192.168.1.11,10.0.0.1,353,humidity,8080
2025-12-19 07:57:55.739427,192.168.1.39,10.0.0.1,616,humidity,443
2025-12-18 22:54:55.739450,192.168.1.13,10.0.0.1,336,pesticide,8080
2025-12-18 18:34:55.739473,192.168.1.27,10.0.0.1,148,temp,1883
2025-12-18 18:01:55.739496,192.168.1.34,10.0.0.1,773,humidity,1883
2025-12-19 15:53:55.739518,192.168.1.49,10.0.0.1,321,temp,443
2025-12-19 11:22:55.739550,192.168.1.14,10.0.0.1,180,pesticide,1883
2025-12-19 09:02:55.739575,192.168.1.33,10.0.0.1,220,temp,1883
2025-12-19 11:33:55.739599,192.168.1.44,10.0.0.1,242,pesticide,8080
2025-12-18 23:41:55.739632,192.168.1.15,10.0.0.1,684,humidity,1883
2025-12-19 06:20:55.739655,192.168.1.35,10.0.0.1,382,pesticide,443
2025-12-18 22:48:55.739679,192.168.1.21,10.0.0.1,196,humidity,8080
2025-12-19 04:45:55.739703,192.168.1.42,10.0.0.1,365,temp,1883
2025-12-19 09:19:55.739731,192.168.1.22,10.0.0.1,599,temp,1883
2025-12-19 11:48:55.739756,192.168.1.36,10.0.0.1,513,temp,1883
2025-12-18 22:32:55.739781,192.168.1.32,10.0.0.1,752,humidity,1883
2025-12-18 15:58:55.739807,192.168.1.2,10.0.0.1,752,humidity,443
2025-12-19 04:24:55.739833,192.168.1.22,10.0.0.1,444,pesticide,8080
2025-12-19 06:39:55.739863,203.0.113.251,10.0.0.1,15537,pesticide,443
2025-12-19 15:31:55.739889,192.168.1.4,10.0.0.1,182,temp,443
2025-12-19 13:43:55.739912,192.168.1.42,10.0.0.1,745,soil_moisture,8080
2025-12-19 13:05:55.739935,192.168.1.26,10.0.0.1,516,soil_moisture,1883
2025-12-19 06:54:55.739958,192.168.1.34,10.0.0.1,333,soil_moisture,8080
2025-12-19 00:33:55.739981,192.168.1.13,10.0.0.1,427,humidity,1883
2025-12-19 00:59:55.740006,192.168.1.18,10.0.0.1,288,humidity,8080
2025-12-19 01:27:55.740031,192.168.1.17,10.0.0.1,611,pesticide,443
2025-12-19 05:26:55.740055,192.168.1.39,10.0.0.1,253,temp,1883
2025-12-19 11:15:55.740077,192.168.1.37,10.0.0.1,492,pesticide,443
2025-12-19 01:42:55.740101,192.168.1.34,10.0.0.1,745,temp,1883
2025-12-19 01:34:55.740124,192.168.1.16,10.0.0.1,568,soil_moisture,443
2025-12-18 20:09:55.740148,192.168.1.33,10.0.0.1,317,soil_moisture,1883
2025-12-18 21:20:55.744270,192.168.1.1,10.0.0.1,470,soil_moisture,8080
2025-12-19 14:37:55.744321,192.168.1.25,10.0.0.1,486,temp,443
2025-12-18 22:11:55.744350,192.168.1.3,10.0.0.1,705,humidity,8080
2025-12-19 12:36:55.744375,192.168.1.23,10.0.0.1,299,temp,443
2025-12-19 07:48:55.744400,192.168.1.11,10.0.0.1,258,soil_moisture,443
2025-12-19 06:16:55.744425,192.168.1.28,10.0.0.1,74,humidity,8080
2025-12-19 10:31:55.744447,192.168.1.24,10.0.0.1,464,soil_moisture,8080
2025-12-19 01:47:55.744470,192.168.1.2,10.0.0.1,66,humidity,8080
2025-12-19 15:36:55.744493,192.168.1.23,10.0.0.1,405,temp,1883
2025-12-18 20:55:55.744515,192.168.1.3,10.0.0.1,597,pesticide,8080
2025-12-19 10:00:55.744550,192.168.1.7,10.0.0.1,506,pesticide,443
2025-12-19 11:04:55.744577,192.168.1.14,10.0.0.1,556,soil_moisture,443
2025-12-19 05:33:55.744600,192.168.1.44,10.0.0.1,538,temp,1883
2025-12-18 23:11:55.744622,192.168.1.22,10.0.0.1,137,pesticide,443
2025-12-18 16:56:55.744646,192.168.1.2,10.0.0.1,104,temp,1883
2025-12-19 07:59:55.744668,192.168.1.22,10.0.0.1,389,soil_moisture,8080
2025-12-19 11:18:55.744692,192.168.1.24,10.0.0.1,795,soil_moisture,8080
2025-12-19 06:14:55.744719,192.168.1.19,10.0.0.1,224,soil_moisture,1883
2025-12-19 14:14:55.744741,192.168.1.14,10.0.0.1,261,temp,8080
2025-12-19 01:11:55.744766,192.168.1.48,10.0.0.1,780,soil_moisture,1883
2025-12-19 09:33:55.744791,192.168.1.17,10.0.0.1,325,temp,443
2025-12-18 16:06:55.744826,192.168.1.35,10.0.0.1,676,soil_moisture,443
2025-12-18 23:26:55.744853,203.0.113.15,10.0.0.1,17014,soil_moisture,443
2025-12-18 20:15:55.744877,192.168.1.29,10.0.0.1,709,soil_moisture,8080
2025-12-19 15:23:55.744917,192.168.1.35,10.0.0.1,317,humidity,1883
2025-12-19 01:07:55.744941,192.168.1.10,10.0.0.1,749,pesticide,8080
2025-12-18 16:36:55.744976,192.168.1.2,10.0.0.1,184,humidity,1883
2025-12-19 02:26:55.745001,192.168.1.16,10.0.0.1,299,pesticide,443
2025-12-18 19:40:55.745025,192.168.1.4,10.0.0.1,191,pesticide,8080
2025-12-19 03:35:55.745050,192.168.1.33,10.0.0.1,353,temp,1883
2025-12-19 00:43:55.745076,203.0.113.1,10.0.0.1,5115,humidity,443
2025-12-19 15:20:55.745100,192.168.1.16,10.0.0.1,164,soil_moisture,443
2025-12-19 06:06:55.745125,192.168.1.42,10.0.0.1,730,temp,443
2025-12-19 01:21:55.745165,192.168.1.27,10.0.0.1,648,pesticide,1883
2025-12-19 01:45:55.745192,203.0.113.82,10.0.0.1,13853,soil_moisture,8080
2025-12-19 06:27:55.745214,192.168.1.49,10.0.0.1,289,pesticide,1883
2025-12-18 22:24:55.745237,192.168.1.2,10.0.0.1,788,temp,8080
2025-12-19 14:28:55.745260,192.168.1.21,10.0.0.1,417,soil_moisture,443
2025-12-19 01:50:55.745284,203.0.113.173,10.0.0.1,10145,temp,1883
2025-12-19 03:03:55.745308,192.168.1.11,10.0.0.1,732,temp,1883
2025-12-18 17:34:55.745341,192.168.1.44,10.0.0.1,517,temp,1883
2025-12-19 10:15:55.745368,203.0.113.155,10.0.0.1,5685,humidity,8080
2025-12-19 11:19:55.745394,192.168.1.6,10.0.0.1,173,temp,8080
2025-12-18 20:56:55.745418,192.168.1.17,10.0.0.1,614,humidity,1883
2025-12-18 22:15:55.745440,192.168.1.26,10.0.0.1,150,pesticide,8080
2025-12-19 00:09:55.745462,192.168.1.36,10.0.0.1,313,pesticide,1883
2025-12-19 13:32:55.745485,192.168.1.19,10.0.0.1,454,pesticide,8080
2025-12-19 12:38:55.745510,192.168.1.47,10.0.0.1,728,humidity,8080
2025-12-18 22:51:55.745534,192.168.1.21,10.0.0.1,259,humidity,8080
2025-12-19 02:53:55.745570,192.168.1.2,10.0.0.1,93,soil_moisture,443
2025-12-19 01:34:55.745595,192.168.1.43,10.0.0.1,741,soil_moisture,443
2025-12-19 00:06:55.745616,192.168.1.46,10.0.0.1,467,temp,443
2025-12-18 20:25:55.745639,192.168.1.13,10.0.0.1,654,soil_moisture,443
2025-12-18 20:25:55.745663,192.168.1.29,10.0.0.1,450,soil_moisture,443
2025-12-18 18:03:55.745687,192.168.1.42,10.0.0.1,451,humidity,1883
2025-12-19 08:29:55.745712,192.168.1.11,10.0.0.1,643,temp,1883
2025-12-19 13:03:55.745736,192.168.1.33,10.0.0.1,396,humidity,8080
2025-12-18 18:00:55.745761,192.168.1.32,10.0.0.1,691,temp,1883
2025-12-19 15:29:55.745787,192.168.1.12,10.0.0.1,53,temp,443
2025-12-18 18:44:55.745810,192.168.1.34,10.0.0.1,755,temp,443
2025-12-18 21:44:55.745838,192.168.1.5,10.0.0.1,758,pesticide,1883
2025-12-18 17:38:55.745862,192.168.1.13,10.0.0.1,780,soil_moisture,8080
2025-12-18 21:20:55.745886,192.168.1.36,10.0.0.1,787,temp,1883
2025-12-19 09:57:55.745910,192.168.1.39,10.0.0.1,365,temp,443
2025-12-19 09:45:55.745935,192.168.1.9,10.0.0.1,277,pesticide,443
2025-12-18 17:51:55.745960,192.168.1.48,10.0.0.1,406,soil_moisture,1883
2025-12-19 11:26:55.745984,192.168.1.10,10.0.0.1,160,temp,443
2025-12-18 21:04:55.746008,192.168.1.18,10.0.0.1,71,pesticide,1883
2025-12-19 05:59:55.746033,192.168.1.13,10.0.0.1,697,soil_moisture,1883
2025-12-18 19:54:55.746059,192.168.1.33,10.0.0.1,431,soil_moisture,8080
2025-12-18 19:46:55.746083,192.168.1.25,10.0.0.1,720,humidity,8080
2025-12-19 14:04:55.746106,192.168.1.3,10.0.0.1,451,pesticide,443
2025-12-18 20:04:55.746133,203.0.113.221,10.0.0.1,12078,soil_moisture,8080
2025-12-19 08:45:55.750211,192.168.1.8,10.0.0.1,448,humidity,8080
2025-12-19 05:30:55.750286,192.168.1.37,10.0.0.1,56,humidity,8080
2025-12-19 01:13:55.750315,192.168.1.8,10.0.0.1,287,temp,1883
2025-12-19 13:02:55.750360,192.168.1.3,10.0.0.1,147,temp,8080
2025-12-18 18:52:55.750388,192.168.1.38,10.0.0.1,366,temp,1883
2025-12-19 13:11:55.750413,192.168.1.47,10.0.0.1,263,humidity,1883
2025-12-18 18:00:55.750442,192.168.1.44,10.0.0.1,451,pesticide,1883
2025-12-19 05:34:55.750467,192.168.1.19,10.0.0.1,606,pesticide,443
2025-12-19 02:37:55.750491,192.168.1.35,10.0.0.1,470,soil_moisture,8080
2025-12-19 00:18:55.750517,192.168.1.17,10.0.0.1,175,soil_moisture,1883
2025-12-19 10:32:55.750550,192.168.1.27,10.0.0.1,419,pesticide,443
2025-12-18 23:10:55.750577,192.168.1.50,10.0.0.1,743,soil_moisture,1883
2025-12-18 21:48:55.750598,192.168.1.4,10.0.0.1,76,soil_moisture,1883
2025-12-18 19:05:55.750620,192.168.1.3,10.0.0.1,749,pesticide,8080
2025-12-18 20:48:55.750643,192.168.1.2,10.0.0.1,467,pesticide,8080
2025-12-19 13:23:55.750666,192.168.1.14,10.0.0.1,471,temp,443
2025-12-19 15:48:55.750693,192.168.1.24,10.0.0.1,668,temp,1883
2025-12-19 10:51:55.750718,192.168.1.49,10.0.0.1,592,soil_moisture,8080
2025-12-19 11:08:55.750742,192.168.1.44,10.0.0.1,336,temp,443
2025-12-18 20:32:55.750766,192.168.1.18,10.0.0.1,429,soil_moisture,443
2025-12-19 03:50:55.750806,192.168.1.49,10.0.0.1,515,pesticide,8080
2025-12-19 12:16:55.750832,192.168.1.20,10.0.0.1,644,pesticide,1883
2025-12-19 06:10:55.750859,192.168.1.31,10.0.0.1,423,soil_moisture,8080
2025-12-19 03:41:55.750884,192.168.1.23,10.0.0.1,569,temp,443
2025-12-19 12:51:55.750906,192.168.1.5,10.0.0.1,172,pesticide,1883
2025-12-18 16:55:55.750931,192.168.1.44,10.0.0.1,480,temp,8080
2025-12-19 11:26:55.750960,192.168.1.3,10.0.0.1,479,pesticide,8080
2025-12-18 18:58:55.750985,192.168.1.31,10.0.0.1,221,temp,8080
2025-12-18 22:15:55.751008,192.168.1.6,10.0.0.1,67,soil_moisture,1883
2025-12-18 21:30:55.751032,192.168.1.13,10.0.0.1,544,humidity,8080
2025-12-19 00:29:55.751056,192.168.1.17,10.0.0.1,791,soil_moisture,1883
2025-12-18 19:43:55.751080,192.168.1.13,10.0.0.1,107,pesticide,1883
2025-12-19 07:39:55.751109,192.168.1.48,10.0.0.1,540,humidity,1883
2025-12-18 19:55:55.751132,192.168.1.31,10.0.0.1,449,humidity,443
2025-12-19 11:07:55.751169,192.168.1.24,10.0.0.1,551,soil_moisture,443
2025-12-19 10:30:55.751195,192.168.1.46,10.0.0.1,685,pesticide,443
2025-12-19 08:02:55.751218,192.168.1.26,10.0.0.1,264,soil_moisture,1883
2025-12-18 19:51:55.751245,192.168.1.38,10.0.0.1,624,temp,443
2025-12-19 02:23:55.751270,192.168.1.10,10.0.0.1,144,pesticide,8080
2025-12-18 16:24:55.751294,192.168.1.47,10.0.0.1,594,soil_moisture,443
2025-12-19 04:51:55.751322,192.168.1.18,10.0.0.1,503,soil_moisture,8080
2025-12-18 16:01:55.751345,192.168.1.38,10.0.0.1,102,temp,1883
2025-12-19 08:14:55.751369,192.168.1.39,10.0.0.1,304,humidity,8080
2025-12-18 17:52:55.751394,192.168.1.8,10.0.0.1,181,soil_moisture,443
2025-12-19 01:28:55.751420,192.168.1.2,10.0.0.1,375,humidity,443
2025-12-19 13:15:55.751450,192.168.1.43,10.0.0.1,426,humidity,8080
2025-12-19 03:43:55.751476,192.168.1.48,10.0.0.1,610,soil_moisture,443
2025-12-18 19:55:55.751501,192.168.1.12,10.0.0.1,73,pesticide,443
2025-12-19 15:33:55.751527,192.168.1.9,10.0.0.1,237,pesticide,1883
2025-12-19 08:50:55.751560,192.168.1.21,10.0.0.1,582,humidity,1883
2025-12-18 23:41:55.751598,192.168.1.1,10.0.0.1,211,soil_moisture,1883
2025-12-19 11:28:55.751623,192.168.1.39,10.0.0.1,631,temp,1883
2025-12-19 10:32:55.751649,203.0.113.192,10.0.0.1,14570,soil_moisture,443
2025-12-18 16:02:55.751673,192.168.1.28,10.0.0.1,387,temp,443
2025-12-19 01:32:55.751702,192.168.1.26,10.0.0.1,578,humidity,1883
2025-12-19 01:54:55.751725,192.168.1.48,10.0.0.1,264,temp,443
2025-12-18 21:05:55.751747,192.168.1.5,10.0.0.1,392,humidity,8080
2025-12-19 04:53:55.751772,203.0.113.93,10.0.0.1,18491,pesticide,8080
2025-12-19 03:42:55.751797,192.168.1.8,10.0.0.1,458,humidity,8080
2025-12-19 14:32:55.751821,192.168.1.31,10.0.0.1,90,humidity,1883
2025-12-19 13:04:55.751844,192.168.1.49,10.0.0.1,159,pesticide,1883
2025-12-19 02:16:55.751874,192.168.1.14,10.0.0.1,356,temp,443
2025-12-19 14:03:55.751897,192.168.1.27,10.0.0.1,570,soil_moisture,443
2025-12-18 21:31:55.751919,192.168.1.35,10.0.0.1,119,temp,1883
2025-12-19 10:15:55.751947,192.168.1.44,10.0.0.1,654,humidity,8080
2025-12-19 08:36:55.751976,192.168.1.28,10.0.0.1,401,humidity,8080
2025-12-19 11:54:55.752000,192.168.1.1,10.0.0.1,450,temp,1883
2025-12-19 10:34:55.752023,192.168.1.23,10.0.0.1,62,pesticide,443
2025-12-19 11:01:55.752047,192.168.1.1,10.0.0.1,140,soil_moisture,1883
2025-12-19 02:49:55.752069,192.168.1.49,10.0.0.1,411,pesticide,443
2025-12-18 22:15:55.752092,192.168.1.35,10.0.0.1,628,soil_moisture,1883
2025-12-19 03:10:55.752116,192.168.1.23,10.0.0.1,439,soil_moisture,1883
2025-12-19 12:05:55.752139,192.168.1.27,10.0.0.1,255,soil_moisture,443
2025-12-19 12:42:55.756260,192.168.1.6,10.0.0.1,772,pesticide,8080
2025-12-18 23:10:55.756325,192.168.1.8,10.0.0.1,751,temp,8080
2025-12-18 18:15:55.756358,192.168.1.14,10.0.0.1,189,soil_moisture,1883
2025-12-18 20:59:55.756387,192.168.1.9,10.0.0.1,338,soil_moisture,1883
2025-12-19 04:26:55.756417,203.0.113.158,10.0.0.1,7019,soil_moisture,8080
2025-12-18 23:03:55.756442,192.168.1.43,10.0.0.1,308,humidity,443
2025-12-19 10:07:55.756464,192.168.1.35,10.0.0.1,120,pesticide,443
2025-12-19 06:52:55.756487,192.168.1.7,10.0.0.1,615,pesticide,1883
2025-12-19 08:29:55.756521,192.168.1.28,10.0.0.1,792,pesticide,8080
2025-12-18 20:26:55.756545,192.168.1.18,10.0.0.1,499,humidity,443
2025-12-19 12:31:55.756570,192.168.1.3,10.0.0.1,75,humidity,443
2025-12-19 13:21:55.756606,203.0.113.106,10.0.0.1,7784,humidity,8080
2025-12-18 16:53:55.756631,192.168.1.20,10.0.0.1,640,pesticide,8080
2025-12-19 14:10:55.756654,192.168.1.3,10.0.0.1,644,soil_moisture,1883
2025-12-19 04:01:55.756678,192.168.1.42,10.0.0.1,731,pesticide,8080
2025-12-18 22:15:55.756702,192.168.1.24,10.0.0.1,645,humidity,443
2025-12-18 19:07:55.756727,192.168.1.33,10.0.0.1,720,humidity,8080
2025-12-18 17:35:55.756752,192.168.1.8,10.0.0.1,374,pesticide,8080
2025-12-19 05:57:55.756777,192.168.1.5,10.0.0.1,461,temp,443
2025-12-18 19:00:55.756802,192.168.1.40,10.0.0.1,697,pesticide,443
2025-12-19 04:01:55.756827,192.168.1.26,10.0.0.1,577,temp,8080
2025-12-19 08:20:55.756855,203.0.113.134,10.0.0.1,7466,pesticide,1883
2025-12-19 10:37:55.756878,192.168.1.43,10.0.0.1,608,pesticide,443
2025-12-18 19:54:55.756905,192.168.1.21,10.0.0.1,628,humidity,8080
2025-12-18 18:39:55.756929,192.168.1.8,10.0.0.1,376,temp,1883
2025-12-18 17:06:55.756953,192.168.1.26,10.0.0.1,519,soil_moisture,443
2025-12-18 19:52:55.756977,192.168.1.46,10.0.0.1,756,humidity,8080
2025-12-19 14:06:55.757002,192.168.1.44,10.0.0.1,706,soil_moisture,1883
2025-12-19 09:00:55.757025,192.168.1.38,10.0.0.1,527,soil_moisture,443
2025-12-19 02:13:55.757232,192.168.1.11,10.0.0.1,601,pesticide,8080
2025-12-18 20:33:55.757263,192.168.1.29,10.0.0.1,303,soil_moisture,1883
2025-12-19 02:31:55.757296,192.168.1.48,10.0.0.1,777,humidity,443
2025-12-19 15:06:55.757322,192.168.1.29,10.0.0.1,187,pesticide,8080
2025-12-19 10:46:55.757347,192.168.1.5,10.0.0.1,551,humidity,8080
2025-12-18 18:29:55.757372,192.168.1.46,10.0.0.1,344,humidity,443
2025-12-19 13:22:55.757396,192.168.1.18,10.0.0.1,217,temp,443
2025-12-19 14:14:55.757420,192.168.1.6,10.0.0.1,112,pesticide,443
2025-12-19 04:50:55.757444,192.168.1.3,10.0.0.1,221,temp,443
2025-12-19 00:33:55.757469,192.168.1.5,10.0.0.1,484,pesticide,443
2025-12-19 15:47:55.757494,192.168.1.8,10.0.0.1,543,humidity,1883
2025-12-18 22:27:55.757528,192.168.1.33,10.0.0.1,431,pesticide,1883
2025-12-19 09:53:55.757552,192.168.1.10,10.0.0.1,169,pesticide,8080
2025-12-19 08:55:55.757576,192.168.1.32,10.0.0.1,182,temp,8080
2025-12-19 15:12:55.757600,192.168.1.44,10.0.0.1,299,soil_moisture,8080
2025-12-19 09:58:55.757623,192.168.1.18,10.0.0.1,307,humidity,1883
2025-12-19 09:33:55.757646,192.168.1.24,10.0.0.1,224,temp,8080
2025-12-18 22:52:55.757670,192.168.1.30,10.0.0.1,288,temp,443
2025-12-19 14:41:55.757693,192.168.1.8,10.0.0.1,437,humidity,443
2025-12-19 10:29:55.757717,192.168.1.18,10.0.0.1,505,temp,8080
2025-12-19 14:47:55.757739,192.168.1.45,10.0.0.1,603,soil_moisture,443
2025-12-18 20:29:55.757768,192.168.1.27,10.0.0.1,713,pesticide,8080
2025-12-19 04:10:55.757791,192.168.1.26,10.0.0.1,357,humidity,1883
2025-12-19 00:58:55.757815,192.168.1.4,10.0.0.1,453,temp,8080
2025-12-18 18:39:55.757839,192.168.1.39,10.0.0.1,335,temp,1883
2025-12-19 11:48:55.757864,192.168.1.14,10.0.0.1,303,soil_moisture,443
2025-12-19 14:31:55.757894,192.168.1.25,10.0.0.1,757,temp,1883
2025-12-19 12:14:55.757916,192.168.1.28,10.0.0.1,430,humidity,1883
2025-12-19 11:08:55.757939,192.168.1.27,10.0.0.1,54,pesticide,8080
2025-12-19 05:37:55.757962,192.168.1.46,10.0.0.1,68,temp,1883
2025-12-18 23:55:55.757985,192.168.1.36,10.0.0.1,585,humidity,8080
2025-12-19 13:33:55.758006,192.168.1.31,10.0.0.1,793,temp,8080
2025-12-18 23:14:55.758029,192.168.1.31,10.0.0.1,367,temp,8080
2025-12-19 07:06:55.758054,192.168.1.45,10.0.0.1,760,humidity,443
2025-12-19 12:06:55.758081,192.168.1.44,10.0.0.1,71,humidity,443
2025-12-19 11:43:55.758105,192.168.1.18,10.0.0.1,260,pesticide,1883
2025-12-19 13:49:55.758127,192.168.1.44,10.0.0.1,579,temp,443
2025-12-19 13:24:55.762175,192.168.1.8,10.0.0.1,726,pesticide,443
2025-12-18 18:23:55.762279,192.168.1.30,10.0.0.1,590,temp,8080
2025-12-18 21:49:55.762313,192.168.1.30,10.0.0.1,324,humidity,8080
2025-12-19 14:47:55.762340,192.168.1.33,10.0.0.1,757,soil_moisture,443
2025-12-19 03:57:55.762378,192.168.1.48,10.0.0.1,175,soil_moisture,443
2025-12-18 19:00:55.762404,192.168.1.10,10.0.0.1,676,humidity,443
2025-12-18 23:35:55.762430,192.168.1.17,10.0.0.1,551,pesticide,8080
2025-12-19 03:35:55.762455,192.168.1.35,10.0.0.1,327,soil_moisture,8080
2025-12-19 11:21:55.762478,192.168.1.14,10.0.0.1,523,temp,8080
2025-12-18 17:04:55.762510,192.168.1.47,10.0.0.1,732,soil_moisture,443
2025-12-19 09:33:55.762534,192.168.1.18,10.0.0.1,610,temp,8080
2025-12-19 13:23:55.762558,192.168.1.37,10.0.0.1,252,pesticide,8080
2025-12-18 18:35:55.762582,192.168.1.41,10.0.0.1,65,pesticide,443
2025-12-19 04:02:55.762606,192.168.1.47,10.0.0.1,606,temp,8080
2025-12-19 01:16:55.762630,192.168.1.10,10.0.0.1,700,humidity,1883
2025-12-19 12:11:55.762653,192.168.1.32,10.0.0.1,74,humidity,8080
2025-12-19 08:29:55.762678,192.168.1.31,10.0.0.1,416,pesticide,443
2025-12-18 18:51:55.762701,192.168.1.9,10.0.0.1,142,pesticide,443
2025-12-19 10:47:55.762725,192.168.1.1,10.0.0.1,383,humidity,1883
2025-12-19 09:37:55.762754,192.168.1.37,10.0.0.1,168,humidity,8080
2025-12-19 10:23:55.762784,192.168.1.10,10.0.0.1,665,temp,8080
2025-12-18 22:34:55.762808,192.168.1.12,10.0.0.1,725,soil_moisture,1883
2025-12-18 21:20:55.762831,192.168.1.27,10.0.0.1,381,temp,1883
2025-12-19 01:50:55.762857,192.168.1.4,10.0.0.1,675,pesticide,8080
2025-12-19 15:07:55.762880,192.168.1.48,10.0.0.1,220,humidity,1883
2025-12-19 13:04:55.762902,192.168.1.22,10.0.0.1,339,humidity,8080
2025-12-19 15:13:55.762925,192.168.1.2,10.0.0.1,651,humidity,443
2025-12-18 18:25:55.762948,192.168.1.40,10.0.0.1,142,pesticide,1883
2025-12-19 06:26:55.762971,192.168.1.49,10.0.0.1,93,soil_moisture,443
2025-12-19 07:34:55.762994,192.168.1.45,10.0.0.1,62,pesticide,8080
2025-12-19 10:54:55.763016,192.168.1.6,10.0.0.1,373,pesticide,443
2025-12-19 01:15:55.763039,192.168.1.7,10.0.0.1,717,pesticide,8080
2025-12-18 22:11:55.763062,192.168.1.41,10.0.0.1,650,temp,443
2025-12-19 08:07:55.763090,203.0.113.173,10.0.0.1,15797,humidity,443
2025-12-19 01:48:55.763112,192.168.1.10,10.0.0.1,372,humidity,443
2025-12-18 19:14:55.763136,192.168.1.4,10.0.0.1,596,temp,8080
2025-12-19 03:39:55.763174,192.168.1.6,10.0.0.1,631,temp,1883
2025-12-19 04:31:55.763202,192.168.1.7,10.0.0.1,640,soil_moisture,1883
2025-12-18 22:21:55.763224,192.168.1.39,10.0.0.1,638,pesticide,8080
2025-12-19 05:12:55.763246,192.168.1.49,10.0.0.1,359,humidity,8080
2025-12-19 10:15:55.763270,192.168.1.5,10.0.0.1,426,pesticide,8080
2025-12-18 20:46:55.763294,192.168.1.15,10.0.0.1,227,temp,8080
2025-12-19 11:05:55.763316,192.168.1.26,10.0.0.1,410,soil_moisture,1883
2025-12-18 22:27:55.763345,192.168.1.43,10.0.0.1,58,soil_moisture,8080
2025-12-19 13:57:55.763369,192.168.1.22,10.0.0.1,796,pesticide,1883
2025-12-18 20:59:55.763392,192.168.1.42,10.0.0.1,330,temp,443
2025-12-19 06:36:55.763416,192.168.1.25,10.0.0.1,386,pesticide,443
2025-12-19 10:40:55.763438,192.168.1.16,10.0.0.1,520,soil_moisture,1883
2025-12-19 09:34:55.763460,192.168.1.47,10.0.0.1,673,pesticide,1883
2025-12-19 06:03:55.763482,192.168.1.48,10.0.0.1,372,soil_moisture,443
2025-12-19 03:51:55.763514,192.168.1.20,10.0.0.1,409,humidity,8080
2025-12-19 08:29:55.763538,192.168.1.15,10.0.0.1,639,temp,8080
2025-12-19 09:33:55.763565,192.168.1.19,10.0.0.1,202,pesticide,8080
2025-12-19 07:43:55.763589,192.168.1.8,10.0.0.1,298,soil_moisture,443
2025-12-18 21:04:55.763613,192.168.1.23,10.0.0.1,798,soil_moisture,443
2025-12-19 02:37:55.763637,192.168.1.3,10.0.0.1,329,temp,8080
2025-12-19 01:09:55.763660,192.168.1.28,10.0.0.1,337,soil_moisture,443
2025-12-19 00:14:55.763682,192.168.1.48,10.0.0.1,116,temp,8080
2025-12-18 17:16:55.763706,192.168.1.10,10.0.0.1,362,pesticide,8080
2025-12-19 05:33:55.763730,192.168.1.4,10.0.0.1,225,temp,443
2025-12-19 02:48:55.763753,192.168.1.22,10.0.0.1,665,temp,8080
2025-12-18 21:14:55.763777,192.168.1.39,10.0.0.1,84,humidity,1883
2025-12-19 03:59:55.763805,192.168.1.12,10.0.0.1,220,temp,443
2025-12-19 07:02:55.763831,192.168.1.24,10.0.0.1,753,pesticide,1883
